num_poste alti massif_nivo nom_usuel lat_dg lon_dg datouvr datferm exposition_nivo pente_nivo type_nivo massif_bdclim
5046001 873 20 EMBRUN 44.571167 6.508667 1806-01-01 2199-12-31 0.0 0 4 20
5058001 1320 16 FREISSINIERES 44.748333 6.503333 1958-08-01 2002-01-31 0.0 0 7 16
5058400 1680 16 Dormillouse 44.736000 6.443167 1989-02-24 1989-04-13 130.0 0 1 16
5058402 1726 16 REFUGE-DORMILLOUSE 44.735833 6.440333 2025-11-03 2199-12-31 180.0 10 1 16
5061400 1240 18 GAP-BAYARD_NIVO 44.621500 6.084333 2009-12-02 2024-05-01 40.0 0 1 18
5063003 2450 12 LAC-NOIR-EDFNIVO 45.051167 6.225000 2003-09-19 2199-12-31 110.0 5 8 12
5063402 3093 15 LA-MEIJE-NIVOSE 45.012333 6.265167 1990-03-22 2199-12-31 20.0 20 3 15
5063403 1750 12 Le-Chazelet 45.050000 6.283333 1991-12-23 1994-03-19 360.0 0 1 15
5063406 1474 12 La-Grave 45.044667 6.301833 1997-10-27 2005-07-11 210.0 0 1 15
5063407 2420 15 La-Grave---La-Meije 45.025500 6.288667 2002-12-19 2199-12-31 10.0 0 1 15
5063410 3196 15 LA-GRAVE-3200-M 45.006000 6.253000 2020-01-01 2199-12-31 310.0 10 1 15
5063411 3220 15 LA-GRAVE-3200-M--S- 45.003667 6.258500 2020-01-01 2199-12-31 310.0 10 2 15
5064001 1270 19 CHAPELLE-EN-VALGAUDEMAR 44.810000 6.195333 1928-01-01 2025-09-30 0.0 0 7 19
5064002 1264 19 LA-CHAPELLE-EN-VALGAUDEMAR-EDF 44.810000 6.194667 2007-04-01 2199-12-31 0.0 0 7 19
5064400 2560 19 Vallompierre 44.800000 6.270000 1983-01-13 1988-02-11 90.0 0 3 19
5064403 1270 19 LES-PORTES-EN-VALGAUDEMAR_NIVO 44.810000 6.195333 2000-08-01 2199-12-31 90.0 0 1 19
5077402 2627 17 COL-AGNEL-NIVOSE 44.688667 6.976167 1994-08-30 2199-12-31 270.0 0 3 17
5077404 2049 17 MOLINES-EN-QUEYRAS_NIVO 44.715333 6.860500 2023-12-26 2199-12-31 270.0 10 1 17
5077405 2414 17 MOLINES-EN-QUEYRAS--S2- 44.713500 6.872333 2024-12-01 2199-12-31 270.0 10 2 17
5079001 1459 13 LE-MONETIER-LES-BAINS 44.971500 6.514167 1921-01-01 2199-12-31 0.0 0 7 16
5079005 1459 16 LE-MONETIER-LES-BAINS-EDF 44.970167 6.509167 2007-04-01 2199-12-31 0.0 0 7 16
5079400 2185 16 SERRE-CHE-LE-MONETIER_NIVO 44.949833 6.501000 1983-12-12 2199-12-31 360.0 0 1 16
