5077405 MOLINES-EN-QUEYRAS--S2- 2 b'2199-12-31' 2414 2411 -3
5079001 LE-MONETIER-LES-BAINS 7 b'2199-12-31' 1459 1453 -6
5079005 LE-MONETIER-LES-BAINS-ED 7 b'2199-12-31' 1459 1471 12
5079400 SERRE-CHE-LE-MONETIER_NI 1 b'2199-12-31' 2185 2171 -14
5079402 GALIBIER-NIVOSE 3 b'2199-12-31' 2559 2550 -9
5079403 SERRE-CHE-LE-MONETIER--S 2 b'2199-12-31' 2231 2232 1
5085001 MONTGENEVRE 7 b'2015-03-31' 1848 1846 -2
5085400 MONTGENEVRE-GENDARMERIE 1 b'2015-03-31' 1848 1846 -2
5085402 MONTGENEVRE--S- 2 b'2199-12-31' 2350 2338 -12
5085403 MONTGENEVRE_NIVO 1 b'2199-12-31' 2134 2073 -61
5090002 MOTTE-MOLINES 7 b'2199-12-31' 1250 1258 8
5093001 NEVACHE-EDF-03 7 b'2199-12-31' 1603 1594 -9
5093002 NEVACHE-EDF 7 b'2199-12-31' 1603 1594 -9
5093003 CHARDONNET-EDFNIVO 8 b'2199-12-31' 2455 2443 -12
5093402 Nevache 1 b'2010-02-28' 1610 1608 -2
5093403 NEVACHE-BUFFERE 1 b'2018-12-31' 2060 2056 -4
5093405 NEVACHE_NIVO 1 b'2199-12-31' 1579 1580 1
5096001 ORCIERES-EDF 7 b'2199-12-31' 1440 1449 9
5096003 ROUGNOUS-PRAPIC-EDFNIVO 8 b'2199-12-31' 2480 2493 13
5096400 Orcieres 1 b'1992-04-22' 1900 1306 -594 "Warning diff altitude mnt/poste >100m"
5096401 ORCIERES--S- 2 b'2199-12-31' 2100 2105 5
5096402 Orcieres 1 b'2022-11-21' 2130 2129 -1
5096403 ORCIERES-PNE--S- 2 b'2199-12-31' 2464 2464 0
5096404 ORCIERES-NIVOSE 3 b'2199-12-31' 2280 2289 9
5096405 ORCIERES_NIVO 1 b'2199-12-31' 2285 2287 2
5098001 LES-ORRES 7 b'2199-12-31' 1457 1453 -4
5098400 Les-Orres 1 b'2002-12-09' 1570 1572 2
5098401 LES-ORRES--S- 2 b'2199-12-31' 2220 2231 11
5098402 LES-ORRES_NIVO 1 b'2199-12-31' 1895 1901 6
5101001 PELVOUX 1 b'2199-12-31' 1270 1230 -40
5101002 PELVOUX-EDF 7 b'2199-12-31' 1263 1256 -7
5101003 CEZANNE-EDFNIVO 8 b'2199-12-31' 1870 1873 3
5101400 PELVOUX-ST-ANTOINE_NIVO 1 b'2024-12-01' 1270 1271 1
5101401 REFUGE-DES-ECRINS 1 b'2199-12-31' 3175 3096 -79
5101402 REFUGE-DU-PELVOUX 1 b'2199-12-31' 2700 2653 -47
5110001 PUY-ST-VINCENT 7 b'2199-12-31' 1388 1390 2
5110400 PUY-ST-VINCENT_NIVO 1 b'2199-12-31' 1680 1692 12
5110401 PUY-ST-VINCENT--S- 2 b'2199-12-31' 2226 2221 -5
5114002 REALLON-ISCLE 7 b'1998-08-31' 1429 1470 41
5114400 REALLON--S- 2 b'2199-12-31' 2010 2005 -5
5114401 REALLON 1 b'2007-07-31' 2120 2105 -15
5114402 REALLON-_NIVO 1 b'2199-12-31' 1716 1720 4
5119401 Risoul 1 b'2012-12-11' 2125 2127 2
5119402 RISOUL_NIVO 1 b'2199-12-31' 2050 2034 -16
5119403 RISOUL--S- 2 b'2199-12-31' 2300 2298 -2
5120002 RISTOLAS 8 b'2199-12-31' 1670 1671 1
5120401 Ristolas 1 b'1984-04-30' 1600 1738 138 "Warning diff altitude mnt/poste >100m"
5132001 ST-BONNET-CHAMPSAUR 8 b'2199-12-31' 1005 1007 2
5132003 ST-BONNET-EN-CHAMPSAUR-E 7 b'2199-12-31' 1020 1012 -8
5133400 SERRE-CHE-CHANTEMERLE_NI 1 b'2199-12-31' 1905 1894 -11
5133402 Serre-Chevalier 1 b'1975-04-20' 1360 1355 -5
5136002 ST-CREPIN 8 b'2199-12-31' 906 902 -4
5139005 ST-ETIENNE-EN-DEVOLUY-ED 7 b'2199-12-31' 1302 1292 -10
5139006 AGNIERES-EN-DEVOLUY 1 b'2199-12-31' 1244 1243 -1
5139400 St-Etienne-en-Devoluy 1 b'2019-03-26' 1281 1296 15
5139405 SUPER-DEVOLUY_NIVO2 1 b'2199-12-31' 1915 1914 -1
